Alias,handle_tube_wafers
K4092T80001,"['K4092T80001', 'K4092T80002', 'K4092T80003', 'K4092T80004', 'K4092T80005', 'K4092T80006', 'K4092T80007', 'K4092T80008', 'K4092T80009', 'K4092T80010', 'K4092T80011', 'K4092T80012', 'K4092T80013', 'K4092T80014', 'K4092T80015', 'K4092T80016', 'K4092T80017', 'K4092T80018', 'K4092T80019', 'K4092T80020', 'K4092T80021', 'K4092T80022', 'K4092T80023', 'K4092T80024', 'K4092T80025', 'K4111P60001', 'K4111P60002', 'K4111P60003', 'K4111P60004', 'K4111P60005', 'K4111P60006', 'K4111P60007', 'K4111P60008', 'K4111P60009', 'K4111P60010', 'K4111P60011', 'K4111P60012', 'K4111P60013', 'K4111P60014', 'K4111P60015', 'K4111P60016', 'K4111P60017', 'K4111P60018', 'K4111P60019', 'K4111P60020', 'K4111P60021', 'K4111P60022', 'K4111P60023', 'K4111P60024', 'K4111P60025', 'K4113T20001', 'K4113T20002', 'K4113T20003', 'K4113T20004', 'K4113T20005', 'K4113T20006', 'K4113T20007', 'K4113T20008', 'K4113T20009', 'K4113T20010', 'K4113T20011', 'K4113T20012', 'K4113T20013', 'K4113T20014', 'K4113T20015', 'K4113T20016', 'K4113T20017', 'K4113T20018', 'K4113T20019', 'K4113T20020', 'K4113T20021', 'K4113T20022', 'K4113T20023', 'K4113T20024', 'K4113T20025', 'NKCH0060024', 'NKCH0060019', 'NKCH0060012']"
K4111660001,"['K4111660001', 'K4111660002', 'K4111660003', 'K4111660004', 'K4111660005', 'K4111660006', 'K4111660007', 'K4111660008', 'K4111660009', 'K4111660010', 'K4111660011', 'K4111660012', 'K4111660013', 'K4111660014', 'K4111660015', 'K4111660016', 'K4111660017', 'K4111660018', 'K4111660019', 'K4111660020', 'K4111660021', 'K4111660022', 'K4111660023', 'K4111660024', 'K4111660025', 'K4111880001', 'K4111880002', 'K4111880003', 'K4111880004', 'K4111880005', 'K4111880006', 'K4111880007', 'K4111880008', 'K4111880009', 'K4111880010', 'K4111880011', 'K4111880012', 'K4111880013', 'K4111880014', 'K4111880015', 'K4111880016', 'K4111880017', 'K4111880018', 'K4111880019', 'K4111880020', 'K4111880021', 'K4111880022', 'K4111880023', 'K4111880024', 'K4111880025', 'K4113R00001', 'K4113R00002', 'K4113R00003', 'K4113R00004', 'K4113R00005', 'K4113R00006', 'K4113R00007', 'K4113R00008', 'K4113R00009', 'K4113R00010', 'K4113R00011', 'K4113R00012', 'K4113R00013', 'K4113R00014', 'K4113R00015', 'K4113R00016', 'K4113R00020', 'K4113R00017', 'K4113R00018', 'K4113R00019', 'K4113R00021', 'K4113R00022', 'K4113R00023', 'K4113R00024', 'K4113R00025', 'K4113S10001', 'K4113S10002', 'K4113S10003', 'K4113S10004', 'K4113S10005', 'K4113S10006', 'K4113S10007', 'K4113S10008', 'K4113S10009', 'K4113S10010', 'K4113S10011', 'K4113S10012', 'K4113S10013', 'K4113S10014', 'K4113S10015', 'K4113S10016', 'K4113S10017', 'K4113S10018', 'K4113S10019', 'K4113S10020', 'K4113S10021', 'K4113S10022', 'K4113S10023', 'K4113S10024', 'K4113S10025', 'NKCD0600024', 'NKCC0080024', 'NKCH0430013']"
K4092V00001,"['K4092V00001', 'K4092V00002', 'K4092V00003', 'K4092V00004', 'K4092V00005', 'K4092V00006', 'K4092V00007', 'K4092V00008', 'K4092V00009', 'K4092V00010', 'K4092V00011', 'K4092V00012', 'K4092V00013', 'K4092V00014', 'K4092V00015', 'K4092V00019', 'K4092V00016', 'K4092V00017', 'K4092V00018', 'K4092V00020', 'K4092V00021', 'K4092V00022', 'K4092V00023', 'K4092V00024', 'K4092V00025', 'K4111S90001', 'K4111S90005', 'K4111S90002', 'K4111S90003', 'K4111S90004', 'K4111S90006', 'K4111S90007', 'K4111S90008', 'K4111S90009', 'K4111S90010', 'K4111S90011', 'K4111S90012', 'K4111S90013', 'K4111S90014', 'K4111S90015', 'K4111S90016', 'K4111S90017', 'K4111S90018', 'K4111S90019', 'K4111S90020', 'K4111S90021', 'K4111S90022', 'K4111S90023', 'K4111S90024', 'K4111S90025', 'K4113Z80001', 'K4113Z80002', 'K4113Z80003', 'K4113Z80004', 'K4113Z80005', 'K4113Z80006', 'K4113Z80007', 'K4113Z80008', 'K4113Z80009', 'K4113Z80010', 'K4113Z80011', 'K4113Z80012', 'K4113Z80013', 'K4113Z80014', 'K4113Z80015', 'K4113Z80016', 'K4113Z80017', 'K4113Z80018', 'K4113Z80019', 'K4113Z80020', 'K4113Z80021', 'K4113Z80022', 'K4113Z80023', 'K4113Z80024', 'K4113Z80025', 'K4114360001', 'K4114360002', 'K4114360003', 'K4114360004', 'K4114360005', 'K4114360006', 'K4114360007', 'K4114360008', 'K4114360009', 'K4114360010', 'K4114360011', 'K4114360012', 'K4114360013', 'K4114360014', 'K4114360015', 'K4114360016', 'K4114360017', 'K4114360018', 'K4114360019', 'K4114360020', 'K4114360021', 'K4114360022', 'K4114360023', 'K4114360024', 'K4114360025', 'NKCH0070010', 'NKCH0070018', 'NKCH0070013']"
K4124G10001,"['K4124G10001', 'K4124G10002', 'K4124G10003', 'K4124G10004', 'K4124G10005', 'K4124G10006', 'K4124G10007', 'K4124G10008', 'K4124G10009', 'K4124G10010', 'K4124G10011', 'K4124G10012', 'K4124G10013', 'K4124G10014', 'K4124G10015', 'K4124G10016', 'K4124G10017', 'K4124G10018', 'K4124G10019', 'K4124G10020', 'K4124G10021', 'K4124G10022', 'K4124G10023', 'K4124G10024', 'K4124G10025', 'K4130L30001', 'K4130L30002', 'K4130L30003', 'K4130L30004', 'K4130L30005', 'K4130L30006', 'K4130L30007', 'K4130L30008', 'K4130L30009', 'K4130L30010', 'K4130L30011', 'K4130L30012', 'K4130L30013', 'K4130L30014', 'K4130L30015', 'K4130L30016', 'K4130L30017', 'K4130L30018', 'K4130L30019', 'K4130L30020', 'K4130L30021', 'K4130L30022', 'K4130L30023', 'K4130L30024', 'K4130L30025', 'K4130S00001', 'K4130S00002', 'K4130S00003', 'K4130S00004', 'K4130S00005', 'K4130S00006', 'K4130S00007', 'K4130S00008', 'K4130S00009', 'K4130S00010', 'K4130S00011', 'K4130S00012', 'K4130S00013', 'K4130S00014', 'K4130S00015', 'K4130S00016', 'K4130S00017', 'K4130S00018', 'K4130S00019', 'K4130S00020', 'K4130S00021', 'K4130S00022', 'K4130S00023', 'K4130S00024', 'K4130S00025', 'NKCF0050003', 'NKCH0070025', 'NKCD0690007']"
K4133590001,"['K4133590001', 'K4133590002', 'K4133590003', 'K4133590004', 'K4133590005', 'K4133590006', 'K4133590007', 'K4133590008', 'K4133590009', 'K4133590010', 'K4133590011', 'K4133590012', 'K4133590013', 'K4133590014', 'K4133590015', 'K4133590016', 'K4133590017', 'K4133590018', 'K4133590019', 'K4133590020', 'K4133590021', 'K4133590022', 'K4133590023', 'K4133590024', 'K4133590025', 'K4141250001', 'K4141250002', 'K4141250003', 'K4141250004', 'K4141250005', 'K4141250006', 'K4141250007', 'K4141250008', 'K4141250009', 'K4141250010', 'K4141250011', 'K4141250012', 'K4141250013', 'K4141250014', 'K4141250015', 'K4141250016', 'K4141250017', 'K4141250018', 'K4141250019', 'K4141250020', 'K4141250021', 'K4141250022', 'K4141250023', 'K4141250024', 'K4141250025', 'NKCK0290022', 'NKCK0290023', 'NKCK0230016']"
K4121F70001,"['K4121F70001', 'K4121F70002', 'K4121F70003', 'K4121F70004', 'K4121F70005', 'K4121F70006', 'K4121F70007', 'K4121F70008', 'K4121F70009', 'K4121F70010', 'K4121F70011', 'K4121F70012', 'K4121F70013', 'K4121F70014', 'K4121F70015', 'K4121F70016', 'K4121F70017', 'K4121F70018', 'K4121F70019', 'K4121F70020', 'K4121F70021', 'K4121F70022', 'K4121F70023', 'K4121F70024', 'K4121F70025', 'K4121J10001', 'K4121J10002', 'K4121J10003', 'K4121J10004', 'K4121J10005', 'K4121J10006', 'K4121J10007', 'K4121J10008', 'K4121J10009', 'K4121J10010', 'K4121J10011', 'K4121J10012', 'K4121J10013', 'K4121J10014', 'K4121J10015', 'K4121J10016', 'K4121J10017', 'K4121J10018', 'K4121J10019', 'K4121J10020', 'K4121J10021', 'K4121J10022', 'K4121J10023', 'K4121J10024', 'K4121J10025', 'K4130M40001', 'K4130M40002', 'K4130M40003', 'K4130M40004', 'K4130M40005', 'K4130M40006', 'K4130M40007', 'K4130M40008', 'K4130M40009', 'K4130M40010', 'K4130M40011', 'K4130M40012', 'K4130M40013', 'K4130M40014', 'K4130M40015', 'K4130M40016', 'K4130M40017', 'K4130M40018', 'K4130M40019', 'K4130M40020', 'K4130M40021', 'K4130M40025', 'K4130M40022', 'K4130M40023', 'K4130M40024', 'NKCK0290007', 'NKCK0290008', 'NKCK0290015']"
K4121H90001,"['K4121H90001', 'K4121H90002', 'K4121H90003', 'K4121H90004', 'K4121H90005', 'K4121H90006', 'K4121H90007', 'K4121H90008', 'K4121H90009', 'K4121H90010', 'K4121H90011', 'K4121H90012', 'K4121H90013', 'K4121H90014', 'K4121H90015', 'K4121H90016', 'K4121H90017', 'K4121H90018', 'K4121H90019', 'K4121H90020', 'K4121H90021', 'K4121H90022', 'K4121H90023', 'K4121H90024', 'K4121H90025', 'K4124F00001', 'K4124F00002', 'K4124F00003', 'K4124F00004', 'K4124F00005', 'K4124F00006', 'K4124F00007', 'K4124F00008', 'K4124F00009', 'K4124F00010', 'K4124F00011', 'K4124F00012', 'K4124F00013', 'K4124F00014', 'K4124F00015', 'K4124F00016', 'K4124F00017', 'K4124F00018', 'K4124F00019', 'K4124F00020', 'K4124F00021', 'K4124F00022', 'K4124F00023', 'K4124F00024', 'K4124F00025', 'K4124H20001', 'K4124H20002', 'K4124H20003', 'K4124H20004', 'K4124H20005', 'K4124H20006', 'K4124H20007', 'K4124H20008', 'K4124H20009', 'K4124H20010', 'K4124H20011', 'K4124H20012', 'K4124H20013', 'K4124H20014', 'K4124H20015', 'K4124H20016', 'K4124H20017', 'K4124H20018', 'K4124H20019', 'K4124H20020', 'K4124H20021', 'K4124H20022', 'K4124H20023', 'K4124H20024', 'K4124H20025', 'NKCF0050001', 'NKCF0180022', 'NKCK0230011']"
K4143H30001,"['K4143H30001', 'K4143H30002', 'K4143H30003', 'K4143H30004', 'K4143H30005', 'K4143H30006', 'K4143H30007', 'K4143H30008', 'K4143H30009', 'K4143H30010', 'K4143H30011', 'K4143H30012', 'K4143H30013', 'K4143H30014', 'K4143H30015', 'K4143H30016', 'K4143H30017', 'K4143H30018', 'K4143H30019', 'K4143H30020', 'K4143H30021', 'K4143H30022', 'K4143H30023', 'K4143H30024', 'K4143H30025', 'NKCM0230023', 'NKCM0230019', 'NKCM0230008']"
K4140M50001,"['K4140M50001', 'K4140M50002', 'K4140M50003', 'K4140M50004', 'K4140M50005', 'K4140M50006', 'K4140M50007', 'K4140M50008', 'K4140M50009', 'K4140M50010', 'K4140M50011', 'K4140M50012', 'K4140M50013', 'K4140M50014', 'K4140M50015', 'K4140M50016', 'K4140M50017', 'K4140M50018', 'K4140M50019', 'K4140M50020', 'K4140M50021', 'K4140M50022', 'K4140M50023', 'K4140M50024', 'K4140M50025', 'K4141470001', 'K4141470002', 'K4141470003', 'K4141470004', 'K4141470005', 'K4141470006', 'K4141470007', 'K4141470008', 'K4141470009', 'K4141470010', 'K4141470011', 'K4141470012', 'K4141470013', 'K4141470014', 'K4141470015', 'K4141470016', 'K4141470017', 'K4141470018', 'K4141470019', 'K4141470020', 'K4141470021', 'K4141470022', 'K4141470023', 'K4141470024', 'K4141470025', 'NKCM0230018', 'NKCM0230025', 'NKCK0230017']"
K4140A30001,"['K4140A30001', 'K4140A30002', 'K4140A30003', 'K4140A30004', 'K4140A30005', 'K4140A30006', 'K4140A30007', 'K4140A30008', 'K4140A30009', 'K4140A30010', 'K4140A30011', 'K4140A30012', 'K4140A30013', 'K4140A30014', 'K4140A30015', 'K4140A30016', 'K4140A30017', 'K4140A30018', 'K4140A30019', 'K4140A30020', 'K4140A30021', 'K4140A30022', 'K4140A30023', 'K4140A30024', 'K4140A30025', 'NKCL0040008', 'NKCK0290017', 'NKCL0160012']"
K4130Y60001,"['K4130Y60001', 'K4130Y60002', 'K4130Y60003', 'K4130Y60004', 'K4130Y60005', 'K4130Y60006', 'K4130Y60007', 'K4130Y60008', 'K4130Y60009', 'K4130Y60010', 'K4130Y60011', 'K4130Y60012', 'K4130Y60013', 'K4130Y60014', 'K4130Y60015', 'K4130Y60016', 'K4130Y60017', 'K4130Y60018', 'K4130Y60019', 'K4130Y60020', 'K4130Y60021', 'K4130Y60022', 'K4130Y60023', 'K4130Y60024', 'K4130Y60025', 'K4133F00001', 'K4133F00002', 'K4133F00003', 'K4133F00004', 'K4133F00005', 'K4133F00006', 'K4133F00007', 'K4133F00008', 'K4133F00009', 'K4133F00010', 'K4133F00011', 'K4133F00012', 'K4133F00013', 'K4133F00014', 'K4133F00015', 'K4133F00016', 'K4133F00017', 'K4133F00018', 'K4133F00019', 'K4133F00020', 'K4133F00021', 'K4133F00022', 'K4133F00023', 'K4133F00024', 'K4133F00025', 'K4143B70001', 'K4143B70002', 'K4143B70003', 'K4143B70004', 'K4143B70005', 'K4143B70006', 'K4143B70007', 'K4143B70008', 'K4143B70009', 'K4143B70010', 'K4143B70011', 'K4143B70012', 'K4143B70013', 'K4143B70014', 'K4143B70015', 'K4143B70016', 'K4143B70017', 'K4143B70018', 'K4143B70019', 'K4143B70020', 'K4143B70021', 'K4143B70022', 'K4143B70023', 'K4143B70024', 'K4143B70025', 'K4143G20001', 'K4143G20002', 'K4143G20003', 'K4143G20004', 'K4143G20005', 'K4143G20006', 'K4143G20007', 'K4143G20008', 'K4143G20009', 'K4143G20010', 'K4143G20014', 'K4143G20011', 'K4143G20012', 'K4143G20013', 'K4143G20015', 'K4143G20016', 'K4143G20017', 'K4143G20018', 'K4143G20019', 'K4143G20020', 'K4143G20021', 'K4143G20022', 'K4143G20023', 'K4143G20024', 'K4143G20025', 'NKCL0160004', 'NKCL0160009', 'NKCL0160019']"
K4145520001,"['K4145520001', 'K4145520002', 'K4145520003', 'K4145520004', 'K4145520005', 'K4145520006', 'K4145520007', 'K4145520008', 'K4145520009', 'K4145520010', 'K4145520011', 'K4145520012', 'K4145520013', 'K4145520014', 'K4145520015', 'K4145520016', 'K4145520017', 'K4145520018', 'K4145520019', 'K4145520020', 'K4145520021', 'K4145520022', 'K4145520023', 'K4145520024', 'K4145520025', 'K4145T70001', 'K4145T70002', 'K4145T70003', 'K4145T70004', 'K4145T70005', 'K4145T70006', 'K4145T70007', 'K4145T70008', 'K4145T70009', 'K4145T70010', 'K4145T70011', 'K4145T70012', 'K4145T70013', 'K4145T70014', 'K4145T70015', 'K4145T70016', 'K4145T70017', 'K4145T70018', 'K4145T70019', 'K4145T70020', 'K4145T70021', 'K4145T70022', 'K4145T70023', 'K4145T70024', 'K4145T70025', 'K4145U80001', 'K4145U80002', 'K4145U80003', 'K4145U80004', 'K4145U80005', 'K4145U80006', 'K4145U80007', 'K4145U80008', 'K4145U80009', 'K4145U80010', 'K4145U80011', 'K4145U80012', 'K4145U80013', 'K4145U80014', 'K4145U80015', 'K4145U80016', 'K4145U80017', 'K4145U80018', 'K4145U80019', 'K4145U80020', 'K4145U80021', 'K4145U80022', 'K4145U80023', 'K4145U80024', 'K4145U80025', 'NKCM0240004', 'NKCM0240007', 'NKCM0230004']"
K4145N10001,"['K4145N10001', 'K4145N10002', 'K4145N10003', 'K4145N10004', 'K4145N10005', 'K4145N10006', 'K4145N10007', 'K4145N10008', 'K4145N10009', 'K4145N10010', 'K4145N10011', 'K4145N10012', 'K4145N10013', 'K4145N10014', 'K4145N10015', 'K4145N10016', 'K4145N10017', 'K4145N10018', 'K4145N10019', 'K4145N10020', 'K4145N10021', 'K4145N10022', 'K4145N10023', 'K4145N10024', 'K4145N10025', 'K4145S60001', 'K4145S60002', 'K4145S60003', 'K4145S60004', 'K4145S60005', 'K4145S60006', 'K4145S60007', 'K4145S60008', 'K4145S60009', 'K4145S60010', 'K4145S60011', 'K4145S60012', 'K4145S60013', 'K4145S60014', 'K4145S60015', 'K4145S60016', 'K4145S60017', 'K4145S60018', 'K4145S60019', 'K4145S60020', 'K4145S60021', 'K4145S60025', 'K4145S60022', 'K4145S60023', 'K4145S60024', 'K4152P10001', 'K4152P10002', 'K4152P10003', 'K4152P10004', 'K4152P10005', 'K4152P10009', 'K4152P10006', 'K4152P10007', 'K4152P10008', 'K4152P10010', 'K4152P10011', 'K4152P10012', 'K4152P10013', 'K4152P10014', 'K4152P10015', 'K4152P10016', 'K4152P10017', 'K4152P10018', 'K4152P10019', 'K4152P10020', 'K4152P10021', 'K4152P10022', 'K4152P10023', 'K4152P10024', 'K4152P10025', 'NKCM0240021', 'NKCM0240019', 'NKCL0160006']"
K4132T30025,"['K4132T30025', 'K4152J50001', 'K4152J50002', 'K4152J50003', 'K4152J50004', 'K4152J50005', 'K4152J50006', 'K4152J50007', 'K4152J50008', 'K4152J50009', 'K4152J50010', 'K4152J50011', 'K4152J50012', 'K4152J50013', 'K4152J50014', 'K4152J50015', 'K4152J50016', 'K4152J50017', 'K4152J50018', 'K4152J50019', 'K4152J50020', 'K4152J50021', 'K4152J50022', 'K4152J50023', 'K4152J50024', 'K4152J50025', 'NKCM0230004', 'NKCN0030012', 'NKCN0050010']"
K4114F90002,"['K4114F90002', 'K4114F90003', 'K4114F90004', 'K4114F90005', 'K4114F90006', 'K4114F90007', 'K4114F90008', 'K4114F90009', 'K4114F90010', 'K4114F90011', 'K4114F90012', 'K4114F90013', 'K4114F90014', 'K4114F90015', 'K4114F90016', 'K4114F90017', 'K4114F90018', 'K4114F90019', 'K4114F90020', 'K4114F90021', 'K4114F90022', 'K4114F90023', 'K4114F90024', 'K4114F90025', 'NKCN0030008', 'NKCM0240004', 'NKCN0050009']"
K3330240007,"['K3330240007', 'K3330240008', 'K3330240009', 'K3330240010', 'K3330240011', 'K3330240012', 'K3330240013', 'K3330240014', 'K3330240015', 'K3330240016', 'K3330240017', 'K3330240018', 'K3330240019', 'K3330240020', 'K3330240021', 'K3330240022', 'K3330240023', 'K3330240024', 'K3330240025', 'K4145960001', 'K4145960002', 'K4145960003', 'K4145960004', 'K4145960005', 'K4145960006', 'K4145960007', 'K4145960008', 'K4145960009', 'K4145960010', 'K4145960011', 'K4145960012', 'K4145960013', 'K4145960014', 'K4145960015', 'K4145960016', 'K4145960017', 'K4145960018', 'K4145960019', 'K4145960020', 'K4145960021', 'K4145960022', 'K4145960023', 'K4145960024', 'K4145960025', 'K4145P30001', 'K4145P30002', 'K4145P30003', 'K4145P30004', 'K4145P30005', 'K4145P30006', 'K4145P30007', 'K4145P30008', 'K4145P30009', 'K4145P30010', 'K4145P30011', 'K4145P30012', 'K4145P30013', 'K4145P30014', 'K4145P30015', 'K4145P30016', 'K4145P30017', 'K4145P30018', 'K4145P30019', 'K4145P30020', 'K4145P30021', 'K4145P30022', 'K4145P30023', 'K4145P30024', 'K4145P30025', 'K4145Q40001', 'K4145Q40002', 'K4145Q40003', 'K4145Q40004', 'K4145Q40005', 'K4145Q40006', 'K4145Q40007', 'K4145Q40008', 'K4145Q40009', 'K4145Q40010', 'K4145Q40011', 'K4145Q40012', 'K4145Q40013', 'K4145Q40014', 'K4145Q40015', 'K4145Q40016', 'K4145Q40017', 'K4145Q40018', 'K4145Q40019', 'K4145Q40020', 'K4145Q40021', 'K4145Q40022', 'K4145Q40023', 'K4145Q40024', 'K4145Q40025', 'NKCM0230001', 'NKCM0230005', 'NKCL0160003']"
K4143C80001,"['K4143C80001', 'K4143C80002', 'K4143C80003', 'K4143C80004', 'K4143C80005', 'K4143C80006', 'K4143C80007', 'K4143C80008', 'K4143C80009', 'K4143C80010', 'K4143C80011', 'K4143C80012', 'K4143C80013', 'K4143C80014', 'K4143C80015', 'K4143C80016', 'K4143C80017', 'K4143C80018', 'K4143C80019', 'K4143C80020', 'K4143C80021', 'K4143C80022', 'K4143C80023', 'K4143C80024', 'K4143C80025', 'K4145H50001', 'K4145H50002', 'K4145H50006', 'K4145H50003', 'K4145H50004', 'K4145H50005', 'K4145H50007', 'K4145H50008', 'K4145H50009', 'K4145H50010', 'K4145H50011', 'K4145H50012', 'K4145H50013', 'K4145H50014', 'K4145H50015', 'K4145H50016', 'K4145H50017', 'K4145H50018', 'K4145H50019', 'K4145H50020', 'K4145H50021', 'K4145H50022', 'K4145H50023', 'K4145H50024', 'K4145H50025', 'K4145V90001', 'K4145V90002', 'K4145V90003', 'K4145V90004', 'K4145V90005', 'K4145V90006', 'K4145V90007', 'K4145V90008', 'K4145V90009', 'K4145V90010', 'K4145V90011', 'K4145V90012', 'K4145V90013', 'K4145V90014', 'K4145V90015', 'K4145V90016', 'K4145V90017', 'K4145V90018', 'K4145V90019', 'K4145V90020', 'K4145V90021', 'K4145V90022', 'K4145V90023', 'K4145V90024', 'K4145V90025', 'K4152G20001', 'K4152G20002', 'K4152G20003', 'K4152G20004', 'K4152G20005', 'K4152G20006', 'K4152G20007', 'K4152G20011', 'K4152G20008', 'K4152G20009', 'K4152G20010', 'K4152G20012', 'K4152G20013', 'K4152G20014', 'K4152G20015', 'K4152G20016', 'K4152G20017', 'K4152G20018', 'K4152G20019', 'K4152G20020', 'K4152G20021', 'K4152G20022', 'K4152G20023', 'K4152G20024', 'K4152G20025', 'NKCM0240004', 'NKCM0240007', 'NKCM0230003']"
K4145300001,"['K4145300001', 'K4145300002', 'K4145300003', 'K4145300004', 'K4145300005', 'K4145300006', 'K4145300007', 'K4145300008', 'K4145300009', 'K4145300010', 'K4145300011', 'K4145300012', 'K4145300013', 'K4145300014', 'K4145300015', 'K4145300016', 'K4145300017', 'K4145300018', 'K4145300019', 'K4145300020', 'K4145300021', 'K4145300022', 'K4145300023', 'K4145300024', 'K4145300025', 'K4145G40001', 'K4145G40002', 'K4145G40003', 'K4145G40004', 'K4145G40005', 'K4145G40006', 'K4145G40007', 'K4145G40008', 'K4145G40009', 'K4145G40010', 'K4145G40011', 'K4145G40012', 'K4145G40013', 'K4145G40014', 'K4145G40015', 'K4145G40016', 'K4145G40017', 'K4145G40018', 'K4145G40019', 'K4145G40020', 'K4145G40021', 'K4145G40022', 'K4145G40023', 'K4145G40025', 'K4145R50001', 'K4145R50002', 'K4145R50003', 'K4145R50004', 'K4145R50005', 'K4145R50006', 'K4145R50007', 'K4145R50008', 'K4145R50009', 'K4145R50010', 'K4145R50011', 'K4145R50012', 'K4145R50013', 'K4145R50014', 'K4145R50015', 'K4145R50016', 'K4145R50017', 'K4145R50018', 'K4145R50019', 'K4145R50020', 'K4145R50021', 'K4145R50022', 'K4145R50023', 'K4145R50024', 'K4145R50025', 'K4152N90001', 'K4152N90002', 'K4152N90003', 'K4152N90004', 'K4152N90005', 'K4152N90006', 'K4152N90007', 'K4152N90008', 'K4152N90009', 'K4152N90010', 'K4152N90011', 'K4152N90012', 'K4152N90013', 'K4152N90014', 'K4152N90015', 'K4152N90016', 'K4152N90017', 'K4152N90018', 'K4152N90019', 'K4152N90020', 'K4152N90021', 'K4152N90022', 'K4152N90023', 'K4152N90024', 'K4152N90025', 'NKCM0240021', 'NKCM0240019', 'NKCM0240005']"
K4123N70001,"['K4123N70001', 'K4123N70002', 'K4123N70003', 'K4123N70004', 'K4123N70005', 'K4123N70006', 'K4123N70007', 'K4123N70008', 'K4123N70009', 'K4123N70010', 'K4123N70011', 'K4123N70012', 'K4123N70013', 'K4123N70014', 'K4123N70015', 'K4123N70016', 'K4123N70017', 'K4123N70018', 'K4123N70019', 'K4123N70020', 'K4123N70021', 'K4123N70022', 'K4123N70023', 'K4123N70024', 'K4123N70025', 'K4132Q00001', 'K4132Q00002', 'K4132Q00003', 'K4132Q00004', 'K4132Q00005', 'K4132Q00006', 'K4132Q00007', 'K4132Q00008', 'K4132Q00009', 'K4132Q00010', 'K4132Q00011', 'K4132Q00012', 'K4132Q00013', 'K4132Q00014', 'K4132Q00015', 'K4132Q00016', 'K4132Q00017', 'K4132Q00018', 'K4132Q00019', 'K4132Q00020', 'K4132Q00021', 'K4132Q00022', 'K4132Q00023', 'K4132Q00024', 'K4132Q00025', 'K4152Z10001', 'K4152Z10002', 'K4152Z10003', 'K4152Z10004', 'K4152Z10005', 'K4152Z10006', 'K4152Z10007', 'K4152Z10008', 'K4152Z10009', 'K4152Z10010', 'K4152Z10011', 'K4152Z10012', 'K4152Z10013', 'K4152Z10014', 'K4152Z10015', 'K4152Z10016', 'K4152Z10017', 'K4152Z10018', 'K4152Z10019', 'K4152Z10020', 'K4152Z10021', 'K4152Z10022', 'K4152Z10023', 'K4152Z10024', 'K4152Z10025', 'K4154300001', 'K4154300002', 'K4154300003', 'K4154300004', 'K4154300005', 'K4154300006', 'K4154300007', 'K4154300008', 'K4154300012', 'K4154300009', 'K4154300010', 'K4154300011', 'K4154300013', 'K4154300014', 'K4154300015', 'K4154300016', 'K4154300017', 'K4154300018', 'K4154300019', 'K4154300020', 'K4154300021', 'K4154300022', 'K4154300023', 'K4154300024', 'K4154300025', 'NKCN0210017', 'NKCN0030022', 'NKCL0160010']"
K4143M80001,"['K4143M80001', 'K4143M80002', 'K4143M80003', 'K4143M80007', 'K4143M80004', 'K4143M80005', 'K4143M80006', 'K4143M80008', 'K4143M80009', 'K4143M80010', 'K4143M80011', 'K4143M80012', 'K4143M80013', 'K4143M80014', 'K4143M80015', 'K4143M80016', 'K4143M80017', 'K4143M80018', 'K4143M80019', 'K4143M80020', 'K4143M80021', 'K4143M80022', 'K4143M80023', 'K4143M80024', 'K4153840001', 'K4153840002', 'K4153840003', 'K4153840004', 'K4153840005', 'K4153840006', 'K4153840007', 'K4153840008', 'K4153840009', 'K4153840010', 'K4153840011', 'K4153840012', 'K4153840013', 'K4153840014', 'K4153840015', 'K4153840016', 'K4153840018', 'K4153840019', 'K4153840020', 'K4153840021', 'K4153840022', 'K4153840023', 'K4153840024', 'K4153840025', 'K4154630001', 'K4154630002', 'K4154630003', 'K4154630004', 'K4154630005', 'K4154630006', 'K4154630007', 'K4154630008', 'K4154630009', 'K4154630010', 'K4154630011', 'K4154630012', 'K4154630013', 'K4154630014', 'K4154630015', 'K4154630016', 'K4154630017', 'K4154630018', 'K4154630019', 'K4154630020', 'K4154630021', 'K4154630022', 'K4154630023', 'K4154630024', 'K4154630025', 'K4154G40001', 'K4154G40002', 'K4154G40003', 'K4154G40004', 'K4154G40005', 'K4154G40006', 'K4154G40007', 'K4154G40008', 'K4154G40009', 'K4154G40010', 'K4154G40011', 'K4154G40012', 'K4154G40013', 'K4154G40014', 'K4154G40015', 'K4154G40016', 'K4154G40017', 'K4154G40018', 'K4154G40019', 'K4154G40020', 'K4154G40021', 'K4154G40022', 'K4154G40023', 'K4154G40024', 'K4154G40025', 'NKAN0030003', 'NKCK0290019', 'NKCK0290024']"
